ID,Term,Chinese,Language
0,à 2 {Fr.},二；雙,法
1,a 2 {It.},二,義
2,a battuta {It.},嚴守原節拍,義
3,a bene placito {It.},任意速度的,義
4,a cappella {It.},無伴奏；無伴奏合唱,義
5,a capriccio {It.},任意的；隨意的,義
6,à deux cordes {Fr.},雙弦（同音）,法
7,à deux mains {Fr.},用双手彈,法
8,à deux {Fr.},二；打二拍,法
9,a due corde {It.},雙弦（同音）,義
10,a due {It.},二；打二拍,義
11,à la corde {Fr.},弓不離弦；運弓時稍加壓力,法
12,a mezza voce {It.},一半音量,義
13,a piacere {It.},隨意表現,義
14,a prima vista {It.},視奏；視唱,義
15,a punta d'rco {It.},用弓尖部奏,義
16,à quatre mains {Fr.},四手聯彈,法
17,a quattro mani {It.},四手聯彈,義
18,A sharp,升Ａ,英
19,a tempo primo {It.},初速度,義
20,a tempo {It.},還原速度；回原速,義
21,à voix forte {Fr.},大聲的,法
22,A-DAT,八音軌數位錄音機,英
23,A2 {It.},雙,義
24,abadá {Br.},阿巴達鼓,巴西
25,abbandoné {Fr.},放任的；隨意的,法
26,abbandono {It.},放任的；隨意的,義
27,abbassare {It.},調低（音高）,義
28,abbellimenti {It.},裝飾音符,義
29,abbellimento {It.},裝飾音符,義
30,abbozzo {It.},草稿,義
31,abbreviation,簡略記法,英
32,abbreviatura {It.},簡略記法,義
33,abdämpfen{Ger.},加弱音器,德
34,Abendlied {Ger.},晚間歌曲,德
35,Abendmusik {Ger.},晚間音樂會；晚間音樂,德
36,abertura acústica {Sp.},音孔,西
37,abgeleitete Stufen {Ger.},變化音,德
38,abgeleitete Töne {Ger.},變化音,德
39,Abgesang {Ger.},副歌；副段,德
40,abgrenzter Kanon {Ger.},有終卡農,德
41,Abkürzung {Ger.},簡略記法,德
42,abnehmend {Ger.},漸弱,德
43,abréviation{Fr.},簡略記法,法
44,abridged sonata-form,節略奏鳴曲式,英
45,Absatz {Ger.},休止,德
46,abschwellend {Ger.},漸弱的,德
47,absetzen {Ger.},斷奏；改編,德
48,absolute consonance,絕對協和,英
49,absolute consonant interval,絕對協和音程,英
50,absolute hearing,絕對音感,英
51,absolute music,絕對音樂,英
52,absolute Musik {Ger.},絕對音樂,德
53,absolute pitch,絕對音高,英
54,absolute threshold,絕對閾；刺激閾,英
55,absolute Tonhöhe {Ger.},絕對音高,德
56,absolutes Gehör {Ger.},絕對音感,德
57,abstossen {Ger.},斷奏；停用某個音栓,德
58,abstract music,抽象音樂,英
59,abstrakte Musik {Ger.},抽象音樂,德
60,Abstrich {Ger.},下弓,德
61,Abuba {Heb.},阿布巴笛,希伯來
62,Abwechselnd {Ger.},交替,德
63,académie{Fr.},學會；學院；音樂會,法
64,academy,學會；學院；音樂會,英
65,academy of music,音樂學院,英
66,Acalento {Por.},巴西搖籃曲｛巴西｝,葡
67,accademia {It.},學會；學院；音樂會,義
68,accarezzevole {It.},愛撫的,義
69,accarezzevolmente {It.},愛撫的,義
70,accelerando {It.},漸快,義
71,accelerato {It.},漸快,義
72,accent {Fr.}{Ger.},重音,英˙法˙德
73,accentato {It.},加重的,義
74,accented auxiliary note,強助音,英
75,accented bar,強小節,英
76,accented passing note,強經過音,英
77,accento {It.},重音,義
78,accentuation,加重音,英
79,accentus {Lat.},主唱部份,拉
80,accessary theme,次要主題,英
81,accessory tone,輔助音,英
82,accessory voices,伴唱聲部,英
83,acciaccato {It.},猛烈的；粗暴的,義
84,acciaccatura doppia（意）,複倚音,義
85,acciccatura {It.},碎音,義
86,accidental,臨時記號；變化記號,英
87,accidental chord,偶成和弦（絃）,英
88,accidente {It.},臨時記號；變化記號,義
89,accident{Fr.},臨時記號；變化記號,法
90,acclamation,歡呼歌,英
91,acclamazione {It.},歡呼歌,義
92,accolade {Fr.},連譜號,法
93,accompagnamento {It.},伴奏,義
94,accompagnato {It.},伴奏吟誦調,義
95,accompagnement {Fr.},伴奏,法
96,accompanied canon,有伴奏卡農,英
97,accompanied fugue,有伴奏復格,英
98,accompaniment,伴奏,英
99,accoppiare {It.},連結的；使用連結器的,義
100,accorato {It.},悲傷的；痛心的,義
101,accord altéré {Fr.},變化和弦（絃）,法
102,accord augmenté {Fr.},增和弦（絃）,法
103,accord brisé {Fr.},分解和弦（絃）,法
104,accord consonant {Fr.},協和和弦（絃）,法
105,accord de cinquième et sixième {Fr.},六五和弦（絃）,法
106,accord de dominante {Fr.},屬和弦（絃）,法
107,accord de neuvième de dominante {Fr.},屬九和弦（絃）,法
108,accord de neuvième majeure {Fr.},大九和弦（絃）,法
109,accord de neuvième mineure {Fr.},小九和弦（絃）,法
110,accord de neuvième {Fr.},九和弦（絃）,法
111,accord de onziéme {Fr.},十一和弦（絃）,法
112,accord de passage {Fr.},經過和弦（絃）,法
113,accord de quarte et sixte {Fr.},六四和弦（絃）,法
114,accord de quinte augmentée {Fr.},增三和弦（絃）,法
115,accord de quinte et sixte {Fr.},六五和弦（絃）,法
116,accord de seconde {Fr.},二和弦（絃）,法
117,accord de septième de dominante {Fr.},屬七和弦（絃）,法
118,accord de septième majeure {Fr.},大七和弦（絃）,法
119,accord de septième mineure {Fr.},小七和弦（絃）,法
120,accord de septième {Fr.},七和弦（絃）,法
121,accord de sixte augmentée {Fr.},增六和弦（絃）,法
122,accord de sixte {Fr.},六和弦（絃）,法
123,accord de treizième {Fr.},十三和弦（絃）,法
124,accord de tritons {Fr.},減三和弦（絃）,法
125,accord de trois sons {Fr.},三和弦（絃）,法
126,accord de troisième et quatrième {Fr.},四三和弦（絃）,法
127,accord dissonant {Fr.},不協和和弦（絃）,法
128,accord d’emprunt {Fr.},借用和弦（絃）,法
129,accord imparfait {Fr.},不完全和弦（絃）,法
130,accord par quartes {Fr.},四度和弦（絃）,法
131,accord parfait majeur {Fr.},大三和弦（絃）,法
132,accord parfait mineur {Fr.},小三和弦（絃）,法
133,accord parfait {Fr.},完全和弦（絃）,法
134,accord pivot {Fr.},共通和弦（絃）；樞紐和弦（絃）；中介和弦（絃）,法
135,accord renversé {Fr.},轉位和弦（絃）,法
136,accord septième diminuée {Fr.},減七和弦（絃）,法
137,accord tonique {Fr.},主和弦（絃）,法
138,accord {Fr.},和弦（絃）；調音,法
139,accordage {Fr.},調音,法
140,accordare {It.},調音,義
141,accordatura giusta {It.},純律,義
142,accordatura {It.},正確的調弦（絃）,義
143,accordéon {Fr.},手風琴,法
144,accordi di settima secondari {It.},副七和弦（絃）,義
